Time	CellId	RNTI	BWPId	SINR(dB)
3.74507	1	1	0	33.9902
3.74607	1	1	0	33.9899
3.75007	1	1	0	33.9885
3.75507	1	1	0	33.9868
3.76007	1	1	0	33.985
3.76507	1	1	0	33.9833
3.77007	1	1	0	33.9815
3.77507	1	1	0	33.9798
3.78007	1	1	0	33.978
3.78507	1	1	0	33.9763
3.79007	1	1	0	33.9745
3.79507	1	1	0	33.9728
3.80007	1	1	0	33.971
3.80507	1	1	0	33.9693
3.81007	1	1	0	33.9675
3.81507	1	1	0	33.9658
3.82007	1	1	0	33.964
3.82507	1	1	0	33.9623
3.82607	1	1	0	33.9619
3.83007	1	1	0	33.9605
3.83507	1	1	0	33.9588
3.84007	1	1	0	33.957
3.84507	1	1	0	33.9553
3.85007	1	1	0	33.9535
3.85507	1	1	0	33.9518
3.86007	1	1	0	33.95
3.86507	1	1	0	33.9483
3.87007	1	1	0	33.9465
3.87507	1	1	0	33.9448
3.88007	1	1	0	33.943
3.88507	1	1	0	33.9412
3.89007	1	1	0	33.9395
3.89507	1	1	0	33.9377
3.90007	1	1	0	33.936
3.90507	1	1	0	33.9342
3.90607	1	1	0	33.9339
3.91007	1	1	0	33.9325
3.91507	1	1	0	33.9307
3.92007	1	1	0	33.929
3.92507	1	1	0	33.9272
3.93007	1	1	0	33.9255
3.93507	1	1	0	33.9237
3.94007	1	1	0	33.922
3.94507	1	1	0	33.9202
3.95007	1	1	0	33.9184
3.95507	1	1	0	33.9167
3.96007	1	1	0	33.9149
3.96507	1	1	0	33.9132
3.97007	1	1	0	33.9114
3.97507	1	1	0	33.9097
3.98007	1	1	0	33.9079
3.98507	1	1	0	33.9062
3.98607	1	1	0	33.9058
3.99007	1	1	0	33.9044
3.99507	1	1	0	33.9026
4.00007	1	1	0	33.9009
4.00507	1	1	0	33.8991
4.01007	1	1	0	33.8974
4.01507	1	1	0	33.8956
4.02007	1	1	0	33.8938
4.02507	1	1	0	33.8921
4.03007	1	1	0	33.8903
4.03507	1	1	0	33.8886
4.04007	1	1	0	33.8868
4.04507	1	1	0	33.8851
4.05007	1	1	0	33.8833
4.05507	1	1	0	33.8815
4.06007	1	1	0	33.8798
4.06507	1	1	0	33.878
4.06607	1	1	0	33.8777
4.07007	1	1	0	33.8763
4.07507	1	1	0	33.8745
4.08007	1	1	0	33.8727
4.08507	1	1	0	33.871
4.09007	1	1	0	33.8692
